playerId,name,DBNOs,assists,boosts,kills,killStreaks,headshotKills,roadKills,teamKills,longestKill,damageDealt,heals,revives,deathType,rideDistance,swimDistance,walkDistance,timeSurvived,weaponsAcquired,killPlace,winPlace,match_id,roster_id,roster_members,roster_rank,roster_won
account.6bdcf232f3f84ce292baac22c154f3fd,kosihikari0319,0,0,0,0,0,0,0,0,0.0,28.199999,0,0,byplayer,0.0,0.0,100.24949,150.464,2,90,27,719f0d3a-f061-47df-b3bb-f61d27c40e24,3ae9c2ae-be11-4996-a6d5-8532f3f1168b,4,1,1
account.d2214d30efc046bb94a71698a57fbea1,DropTheBeatss,1,1,0,0,0,0,0,0,0.0,100.0,0,0,byplayer,0.0,0.0,84.17152,127.963,2,83,24,719f0d3a-f061-47df-b3bb-f61d27c40e24,d3f63fe2-6375-4700-a0a3-b25b6bd25065,4,22,0
account.06c66d9584d849c2bed9a9a41680598d,Hong_Keepar,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,419.1367,220.792,1,74,22,719f0d3a-f061-47df-b3bb-f61d27c40e24,d3f63fe2-6375-4700-a0a3-b25b6bd25065,4,22,0
account.2c58a94fae4745c69e38dfe513904e3c,LlRo,3,0,1,4,2,0,0,1,23.998459,299.7085,5,0,suicide,0.0,0.0,546.0679,347.801,4,4,22,719f0d3a-f061-47df-b3bb-f61d27c40e24,d3f63fe2-6375-4700-a0a3-b25b6bd25065,4,22,0
account.a6cc88dbba9643bdabfc107dd02537db,Donggodmin,2,1,0,0,0,0,0,0,0.0,200.0,0,0,byplayer,0.0,0.0,94.18087,132.583,3,82,24,719f0d3a-f061-47df-b3bb-f61d27c40e24,d3f63fe2-6375-4700-a0a3-b25b6bd25065,4,22,0
account.f4b697f4d6bf45ef97f069370bfa91e2,kino-boss,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,206.49545,163.541,3,89,27,719f0d3a-f061-47df-b3bb-f61d27c40e24,e6b5b7ca-7a7c-4103-81b0-451c73b0572d,4,20,0
account.d32ef01fbf864fdfae252898c2f2424a,mccartny,1,2,1,0,0,0,0,0,0.0,72.811,2,1,byplayer,0.0,0.0,177.74553,445.475,5,68,20,719f0d3a-f061-47df-b3bb-f61d27c40e24,e6b5b7ca-7a7c-4103-81b0-451c73b0572d,4,20,0
account.53141fbccad54f9383a674182fbb6401,dala2584,1,1,1,1,1,0,0,0,11.919023,151.369,1,1,byplayer,0.0,0.0,572.92035,451.8,3,39,20,719f0d3a-f061-47df-b3bb-f61d27c40e24,e6b5b7ca-7a7c-4103-81b0-451c73b0572d,4,20,0
account.eafe863435cf44c5a1033da5ca9baa45,TaNaToS46,1,0,0,1,1,0,0,0,25.4653,122.68,1,0,byplayer,0.0,0.0,349.42526,424.011,5,40,20,719f0d3a-f061-47df-b3bb-f61d27c40e24,e6b5b7ca-7a7c-4103-81b0-451c73b0572d,4,20,0
account.f2f2b60bb75e41068ee8abc7e78f063c,MiCo_OL,5,0,3,6,2,1,0,0,47.37526,441.8338,0,2,byplayer,0.0,0.0,2544.1484,1462.26,7,2,2,719f0d3a-f061-47df-b3bb-f61d27c40e24,37a110ae-e31a-41de-8736-13f299dcc83c,4,2,0
