id,name,rank,rankPoints,wins,games,winRatio,averageDamage,kills,killDeathRatio,averageRank,grade
account.f02ef1abcaf04e35a5c3567d7c9bd02b,ymascat,362,6179,38,556,0.06834532,165,737,1.4173077,19.244604,4
account.e7b84e735ce54c0eb60cf201b08231ac,lihongyu70,363,6179,38,710,0.053521127,158,695,1.0326895,28.645071,4
account.11dbac5dd4a24bdb9090539951c87af0,1111XC,364,6179,51,557,0.091561936,331,1350,2.6679842,28.385996,4
account.a480848a33934473a849ad393853dbda,LouCreed,365,6178,32,681,0.04698972,191,1008,1.5531588,30.434654,4
account.674d5370cb9241ed97048f237f0298a4,gavrilovic,366,6178,21,1140,0.018421052,159,1323,1.18125,44.042107,4
account.a2610f4aa0404ef5951a4bb735a891c3,LOVE__Ali,367,6177,51,796,0.06407035,271,1760,2.362416,41.53266,4
account.ef2783560f7449a8bef80c9cdacf4745,yaoyangcao,368,6177,29,744,0.038978495,215,1304,1.8237762,36.532257,4
account.c810737deccf4fc7b5650b1873c6547d,XF-zpHelmxc_c,369,6176,75,778,0.09640103,264,1892,2.6875,29.28149,4
account.790f7c2764bf41ef8f4b5db84642b083,dawojubao5ci,370,6176,60,677,0.088626295,427,2535,4.1019416,38.36337,4
account.030abbc576334450874ff8364b00307c,haihai1009,371,6176,41,803,0.05105853,298,2063,2.707349,42.841843,4
account.4ea8c565fe33425a97676ac29c70b96b,Lonely-lov,372,6175,24,875,0.027428571,233,1555,1.827262,41.272,4
account.88bba70d8f55444d922650d314711d17,Fw_Love_ty,373,6175,48,870,0.055172414,253,1726,2.0997567,40.211494,4
account.482f5d3929af4e79a4df7d8be822104d,Bloody_Slaughter,374,6174,20,681,0.029368576,119,621,0.9394856,27.287811,4
account.e0af5c84b93742128f56ced7504fa681,HoBBiT-o1,375,6174,10,1258,0.007949126,171,1824,1.4615384,53.5469,4
account.265f78115fb0405aa8a5ecbf822b19f6,omor0329,376,6174,24,1459,0.016449623,193,2308,1.6083623,54.92118,4
account.70b4907a68a347679d15f77e5a518db2,samshixiong1098,377,6173,2,823,0.0024301338,72,421,0.5127893,24.230864,4
account.6db3123c27184c8f9bce3b69c61334cb,Arcadar,378,6173,70,507,0.13806707,297,1192,2.7276888,25.552269,4
account.4db7bb1ccb1547a9b4bb0c90a7cd0f26,aqarqqqq,379,6173,20,779,0.02567394,270,1607,2.1172595,39.810013,4
account.3b5522667748445798444362257bfb83,WAzhubobo,380,6173,21,859,0.024447031,324,2348,2.8019092,46.180443,4
account.6631563e5f98420c973dddd14b5c9f4e,Polabar,381,6172,10,966,0.010351967,86,634,0.66317993,23.609732,4
account.1a1a1ec156734cd0920a805d046ffbee,wgt1978,382,6172,10,886,0.0112866815,101,633,0.7226027,33.764107,4
account.684c7c4bdccd4ef193553470071b86ec,MaxWay,383,6172,33,581,0.056798622,123,557,1.0145719,19.979345,4
account.7526593f536b4f8cb05127feaeaa02dd,PpPpPpPpPpPpPt,384,6172,4,1386,0.0028860029,110,1228,0.88856727,48.01876,4
account.1a739a0477ea43b7a42a10214a337964,HH0456HH,385,6172,16,979,0.016343208,132,970,1.0072689,33.510727,4
account.02abf4b386e34119b65fc6ce5dae2db3,viros122,386,6172,14,907,0.015435502,174,1277,1.4300112,38.748623,4
account.33b2646e9b4942abb71203f1e334bd1a,ChaoJiBaBa_,387,6172,33,787,0.041931383,230,1482,1.9655173,38.792885,4
account.9dac22034322419b98f558fc49a949c2,dok_kkaeby,388,6172,53,520,0.10192308,340,1380,2.955032,27.146154,4
account.7a7a196092964231b2f8c01320492533,firstdayinmarch,389,6172,8,1964,0.00407332,213,3556,1.8179959,61.35489,4
account.0e8e3ee5fc584bdc80c364f677ee57fe,BZ-911,390,6172,42,536,0.07835821,193,846,1.709091,26.339552,4
account.f066897a443c481bbfa7f01de64ed53a,Callousyan,391,6170,36,624,0.057692308,231,1136,1.9319727,28.58814,4
account.8a7baa334b8348a8a6bab8101ffd721c,Truth_in_hand,392,6169,57,650,0.087692305,339,1876,3.163575,35.512306,4
account.ee7db2182ee94f35bfdc1ea3483f7ecf,Tricorax,393,6169,25,550,0.045454547,225,951,1.8079848,23.218182,4
account.fe5f4cbeee5047d2be006213bed10897,Mr_Julian,394,6169,35,831,0.04211793,247,1777,2.232412,38.651024,4
account.50103fa21e624756a81f1d0f6a1a189e,Master_Chen-,395,6169,14,1283,0.010911925,189,2226,1.7541372,38.562744,4
account.60698e36f93443a5a851b20ee6c4e3d4,eNdlessLOve8WalL,396,6168,41,668,0.061377246,224,1173,1.8708134,36.317364,4
account.04f2c03609bd494c9427f923a5682d2f,DeSaNt_YouTube,397,6168,13,997,0.013039118,287,2304,2.3414633,46.621864,4
account.d438c6a1c081468daf17c8c944f4a6f4,Poly_Alloy,398,6168,125,936,0.13354701,68,617,0.76078916,14.193377,4
account.8a4a8537f09f495a9cc8d730c224aa31,Pastlous,399,6168,24,559,0.04293381,193,789,1.4747664,26.00179,4
account.fa1109947d04473e9ccd04cb5567448c,Kosmorico,400,6167,0,1410,0.0,127,1339,0.9496454,48.477306,4
account.3c2bbe94482647528222a79dd7dd580b,Ryckstar,401,6167,6,1004,0.005976096,107,830,0.8316633,34.109562,5
account.515890922ba84eaa8bc5b8e0cbfec014,H9736207,402,6167,47,706,0.06657224,220,1202,1.8239757,25.120396,5
account.ea81a429b6a34e129a36962e0454a392,tErMiNaToRDuAn,403,6167,7,798,0.00877193,53,304,0.38432363,24.2594,5
account.d17c2eae46f44f7098664aea03cde77f,Stalker1111,404,6166,5,782,0.006393862,166,989,1.2728443,32.567776,5
account.c1b290d709f54cd08de052506aa69a9c,Devil_Oldwhite,405,6165,33,751,0.043941412,327,1814,2.5264623,41.354195,5
account.1022286e80334a03a7b657e7ab2519b0,Mob_ZhiHui,406,6165,46,923,0.049837485,299,2413,2.7482915,41.93391,5
account.dfefa40c34774fc1973d63944c260e3d,KOSH-MAR,407,6164,6,658,0.009118541,126,667,1.0230061,24.037994,5
account.e9207b212e524569858dd97eb7adbd04,Cainkillme,408,6164,21,964,0.021784233,128,977,1.0360551,30.717842,5
account.763e16bc01f44776b9013923a1b64f8e,2019xiaohe888,409,6164,26,742,0.03504043,186,1112,1.5530726,32.588947,5
account.a885be4d56594bd4a22a080655c4399b,ccj-LuoYe,410,6164,175,887,0.19729425,579,4943,6.9326787,37.149944,5
account.bb599d013253410aa4e52a20a0fb4739,MihaelShuiMen,411,6163,11,752,0.01462766,133,739,0.9973009,30.19149,5
account.ea62f88fab9e45ef90485e50fd3f4563,IIIS_leiwang,412,6163,31,665,0.046616543,222,1173,1.8501577,29.442104,5
account.26690271c3084b4fa6eb748cf37f61a5,KofcoSpasitel,413,6163,10,645,0.015503876,165,858,1.3511811,29.669767,5
account.5223d543515e4b0987bb98a11ef2c64c,shitou151125,414,6163,31,586,0.052901022,198,850,1.5315316,24.887371,5
account.f82926796937435792475e18679c3999,colenooo,415,6163,10,927,0.010787486,133,883,0.9629226,32.18986,5
account.ade370c61344403185553c1fbcf96525,Maribacsi77,416,6162,13,664,0.019578313,162,708,1.0875576,32.781628,5
account.3f9b75485b43403ba065b7c5168edff1,TeoLu,417,6162,17,904,0.01880531,206,1486,1.6734234,35.05199,5
account.01fcc465390f4c5185ab026cf707b650,Sicario_Max,418,6162,7,1221,0.0057330057,107,1145,0.9431631,22.105652,5
account.bc22204bdb2740f28f23f3fcba902a22,BuHit,419,6162,36,699,0.051502146,211,1224,1.8461539,26.65093,5
account.c4cd6e3abc8545faa50e35c32b4c9728,Makyna,420,6162,10,658,0.015197569,201,919,1.4182099,29.860182,5
account.89e15e3c896d402b94c8cd1bdf6fd96c,RedWhite42rus,421,6162,42,503,0.08349901,225,954,2.0694144,21.117296,5
account.96a0dad223ca453a8faea450d7e17c73,GodofRazer_shot,422,6162,80,1078,0.0742115,178,1696,1.6993988,34.825603,5
account.909935bad1334fff8c022b8a1cd09928,Wxyzclublxc,423,6161,50,583,0.08576329,330,1508,2.8292682,26.58319,5
account.77cb74b86ede40f3b2917751818b29c1,FOREVERLMY,424,6161,67,722,0.092797786,405,2524,3.8417046,39.380886,5
account.61a14a6358394d16979d3b053c076a65,KORD9,425,6161,3,1371,0.0021881838,98,969,0.7083333,50.87746,5
account.0e9fa08cfd554318ac0a05068bbc036f,Tom_KaKa,426,6161,13,903,0.014396456,200,1288,1.447191,40.469547,5
